Skenario Ke,Kernel,Jumlah Kalimat,Threshold,Accuracy,Waktu Komputasi (detik)
Skenario Ke- 82,poly,13,0.1,0.28,0.016506195068359375
Skenario Ke- 83,poly,13,0.2,0.34,0.01656055450439453
Skenario Ke- 84,poly,13,0.3,0.48,0.016881465911865234
Skenario Ke- 85,poly,13,0.4,0.36,0.016351699829101562
Skenario Ke- 86,poly,13,0.5,0.28,0.026658058166503906
Skenario Ke- 87,poly,13,0.6,0.28,0.016201257705688477
Skenario Ke- 88,poly,13,0.7,0.36,0.016021013259887695
Skenario Ke- 89,poly,13,0.8,0.4,0.016431570053100586
Skenario Ke- 90,poly,13,0.9,0.3,0.030155658721923828
Skenario Ke- 91,poly,14,0.1,0.2,0.01946282386779785
Skenario Ke- 92,poly,14,0.2,0.4,0.029062271118164062
Skenario Ke- 93,poly,14,0.3,0.34,0.016881465911865234
Skenario Ke- 94,poly,14,0.4,0.28,0.016470670700073242
Skenario Ke- 95,poly,14,0.5,0.36,0.018950700759887695
Skenario Ke- 96,poly,14,0.6,0.28,0.01647019386291504
Skenario Ke- 97,poly,14,0.7,0.38,0.022543668746948242
Skenario Ke- 98,poly,14,0.8,0.28,0.03061056137084961
Skenario Ke- 99,poly,14,0.9,0.4,0.02852654457092285
Skenario Ke- 100,poly,15,0.1,0.36,0.01867985725402832
Skenario Ke- 101,poly,15,0.2,0.38,0.016803979873657227
Skenario Ke- 102,poly,15,0.3,0.44,0.016878366470336914
Skenario Ke- 103,poly,15,0.4,0.26,0.016771554946899414
Skenario Ke- 104,poly,15,0.5,0.42,0.017038583755493164
Skenario Ke- 105,poly,15,0.6,0.42,0.027257204055786133
Skenario Ke- 106,poly,15,0.7,0.46,0.016640186309814453
Skenario Ke- 107,poly,15,0.8,0.28,0.015974044799804688
Skenario Ke- 108,poly,15,0.9,0.34,0.0162813663482666
Skenario Ke- 109,linear,10,0.1,0.44,0.013997793197631836
Skenario Ke- 110,linear,10,0.2,0.38,0.016340970993041992
Skenario Ke- 111,linear,10,0.3,0.42,0.02214217185974121
Skenario Ke- 112,linear,10,0.4,0.48,0.024332284927368164
Skenario Ke- 113,linear,10,0.5,0.36,0.013737201690673828
Skenario Ke- 114,linear,10,0.6,0.48,0.01393890380859375
Skenario Ke- 115,linear,10,0.7,0.4,0.013716697692871094
Skenario Ke- 116,linear,10,0.8,0.42,0.02208566665649414
Skenario Ke- 117,linear,10,0.9,0.38,0.021965980529785156
Skenario Ke- 118,linear,11,0.1,0.54,0.02622199058532715
Skenario Ke- 119,linear,11,0.2,0.46,0.013653039932250977
Skenario Ke- 120,linear,11,0.3,0.42,0.013748645782470703
Skenario Ke- 121,linear,11,0.4,0.5,0.013791561126708984
Skenario Ke- 122,linear,11,0.5,0.48,0.013745784759521484
Skenario Ke- 123,linear,11,0.6,0.52,0.013834238052368164
Skenario Ke- 124,linear,11,0.7,0.48,0.019357919692993164
Skenario Ke- 125,linear,11,0.8,0.36,0.013613224029541016
Skenario Ke- 126,linear,11,0.9,0.4,0.016089439392089844
Skenario Ke- 127,linear,12,0.1,0.42,0.014335155487060547
Skenario Ke- 128,linear,12,0.2,0.4,0.013839244842529297
Skenario Ke- 129,linear,12,0.3,0.4,0.014120101928710938
Skenario Ke- 130,linear,12,0.4,0.26,0.02316904067993164
Skenario Ke- 131,linear,12,0.5,0.42,0.013834476470947266
Skenario Ke- 132,linear,12,0.6,0.36,0.013573169708251953
Skenario Ke- 133,linear,12,0.7,0.32,0.014889717102050781
Skenario Ke- 134,linear,12,0.8,0.46,0.0233306884765625
Skenario Ke- 135,linear,12,0.9,0.46,0.014912605285644531
Skenario Ke- 136,linear,13,0.1,0.46,0.023388385772705078
Skenario Ke- 137,linear,13,0.2,0.4,0.02253437042236328
Skenario Ke- 138,linear,13,0.3,0.44,0.01448512077331543
Skenario Ke- 139,linear,13,0.4,0.44,0.024619340896606445
Skenario Ke- 140,linear,13,0.5,0.34,0.01621556282043457
Skenario Ke- 141,linear,13,0.6,0.4,0.013924360275268555
Skenario Ke- 142,linear,13,0.7,0.32,0.014217853546142578
Skenario Ke- 143,linear,13,0.8,0.38,0.021868228912353516
Skenario Ke- 144,linear,13,0.9,0.42,0.01424407958984375
Skenario Ke- 145,linear,14,0.1,0.5,0.013910531997680664
Skenario Ke- 146,linear,14,0.2,0.36,0.01436924934387207
Skenario Ke- 147,linear,14,0.3,0.34,0.013854503631591797
Skenario Ke- 148,linear,14,0.4,0.44,0.013649463653564453
Skenario Ke- 149,linear,14,0.5,0.48,0.02079176902770996
Skenario Ke- 150,linear,14,0.6,0.4,0.024803876876831055
Skenario Ke- 151,linear,14,0.7,0.46,0.01585984230041504
Skenario Ke- 152,linear,14,0.8,0.52,0.01601123809814453
Skenario Ke- 153,linear,14,0.9,0.5,0.014595508575439453
Skenario Ke- 154,linear,15,0.1,0.36,0.015116214752197266
Skenario Ke- 155,linear,15,0.2,0.32,0.024782419204711914
Skenario Ke- 156,linear,15,0.3,0.44,0.022350311279296875
Skenario Ke- 157,linear,15,0.4,0.3,0.014410018920898438
Skenario Ke- 158,linear,15,0.5,0.5,0.01614689826965332
Skenario Ke- 159,linear,15,0.6,0.38,0.020250797271728516
Skenario Ke- 160,linear,15,0.7,0.38,0.016478300094604492
Skenario Ke- 161,linear,15,0.8,0.36,0.026919126510620117
Skenario Ke- 162,linear,15,0.9,0.32,0.02476215362548828
Skenario Ke- 163,sigmoid,10,0.1,0.52,0.014681339263916016
Skenario Ke- 164,sigmoid,10,0.2,0.46,0.019435882568359375
Skenario Ke- 165,sigmoid,10,0.3,0.38,0.014795064926147461
Skenario Ke- 166,sigmoid,10,0.4,0.42,0.015295267105102539
